query_index,rank,query_track_id,retrieved_track_id,exact_match,score,query_scene,query_mood,query_genre,retrieved_description,retrieved_mood,retrieved_genre
0,1,track_1021915,track_0708464,0,0.5208572745323181,"A short film scene showing two friends sitting in a quiet room after an argument. The scene needs background music that feels emotional. The musical atmosphere should lean toward easylistening, newage. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is medium.",emotional,easylistening|newage,"mood/theme: commercial, documentary, meditative, summer, travel; genre: atmospheric, chillout, easylistening, jazzfunk, latin, lounge",commercial|documentary|meditative|summer|travel,atmospheric|chillout|easylistening|jazzfunk|latin|lounge
0,2,track_1021915,track_0672770,0,0.4436468482017517,"A short film scene showing two friends sitting in a quiet room after an argument. The scene needs background music that feels emotional. The musical atmosphere should lean toward easylistening, newage. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is medium.",emotional,easylistening|newage,"mood/theme: love, romantic; genre: ",love|romantic,
0,3,track_1021915,track_1149383,0,0.41843944787979126,"A short film scene showing two friends sitting in a quiet room after an argument. The scene needs background music that feels emotional. The musical atmosphere should lean toward easylistening, newage. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is medium.",emotional,easylistening|newage,"mood/theme: corporate, documentary; genre: easylistening, instrumentalpop, soundtrack",corporate|documentary,easylistening|instrumentalpop|soundtrack
0,4,track_1021915,track_0770629,0,0.4127393364906311,"A short film scene showing two friends sitting in a quiet room after an argument. The scene needs background music that feels emotional. The musical atmosphere should lean toward easylistening, newage. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is medium.",emotional,easylistening|newage,"mood/theme: documentary, drama, emotional, soft; genre: choir, newage, soundtrack",documentary|drama|emotional|soft,choir|newage|soundtrack
0,5,track_1021915,track_0121147,0,0.40062403678894043,"A short film scene showing two friends sitting in a quiet room after an argument. The scene needs background music that feels emotional. The musical atmosphere should lean toward easylistening, newage. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is medium.",emotional,easylistening|newage,"mood/theme: documentary, film; genre: world",documentary|film,world
1,1,track_1298276,track_1188985,0,0.6037347316741943,"A short film scene showing a suspenseful scene where the character feels watched. The scene needs background music that feels dark, dramatic. The musical atmosphere should lean toward classical, orchestral, soundtrack. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is high.",dark|dramatic,classical|orchestral|soundtrack,"mood/theme: dark, horror; genre: darkambient, orchestral, soundtrack, symphonic",dark|horror,darkambient|orchestral|soundtrack|symphonic
1,2,track_1298276,track_0900242,0,0.5674935579299927,"A short film scene showing a suspenseful scene where the character feels watched. The scene needs background music that feels dark, dramatic. The musical atmosphere should lean toward classical, orchestral, soundtrack. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is high.",dark|dramatic,classical|orchestral|soundtrack,"mood/theme: adventure, corporate, documentary, drama, nature; genre: classical, orchestral, soundtrack",adventure|corporate|documentary|drama|nature,classical|orchestral|soundtrack
1,3,track_1298276,track_1297805,0,0.5633902549743652,"A short film scene showing a suspenseful scene where the character feels watched. The scene needs background music that feels dark, dramatic. The musical atmosphere should lean toward classical, orchestral, soundtrack. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is high.",dark|dramatic,classical|orchestral|soundtrack,"mood/theme: background, corporate, happy, motivational; genre: easylistening, orchestral, soundtrack",background|corporate|happy|motivational,easylistening|orchestral|soundtrack
1,4,track_1298276,track_1342579,0,0.5595803260803223,"A short film scene showing a suspenseful scene where the character feels watched. The scene needs background music that feels dark, dramatic. The musical atmosphere should lean toward classical, orchestral, soundtrack. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is high.",dark|dramatic,classical|orchestral|soundtrack,"mood/theme: dramatic, emotional, romantic, trailer; genre: classical, orchestral, soundtrack",dramatic|emotional|romantic|trailer,classical|orchestral|soundtrack
1,5,track_1298276,track_1023272,0,0.5450291633605957,"A short film scene showing a suspenseful scene where the character feels watched. The scene needs background music that feels dark, dramatic. The musical atmosphere should lean toward classical, orchestral, soundtrack. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is high.",dark|dramatic,classical|orchestral|soundtrack,"mood/theme: documentary, dramatic; genre: classical, orchestral, soundtrack",documentary|dramatic,classical|orchestral|soundtrack
2,1,track_1287056,track_0672770,0,0.5740500092506409,"A short film scene showing two friends sitting in a quiet room after an argument. The scene needs background music that feels sad. The musical atmosphere should lean toward classical, newage. The music should work as emotional underscore without overpowering dialogue. The pacing should feel slow, and the emotional tension is medium.",sad,classical|newage,"mood/theme: love, romantic; genre: ",love|romantic,
