query_index,rank,query_track_id,retrieved_track_id,exact_match,score,query_scene,query_mood,query_genre,retrieved_mood,retrieved_genre,retrieved_audio_path
0,1,track_1021915,track_0625211,0,0.45009130239486694,"A short film scene showing two friends sitting in a quiet room after an argument. The scene needs background music that feels emotional. The musical atmosphere should lean toward easylistening, newage. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is medium.",emotional,easylistening|newage,relaxing,jazz,/home/users/xl461/datasets/mtg_jamendo/audio_low/11/625211.low.mp3
0,2,track_1021915,track_1372069,0,0.34231817722320557,"A short film scene showing two friends sitting in a quiet room after an argument. The scene needs background music that feels emotional. The musical atmosphere should lean toward easylistening, newage. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is medium.",emotional,easylistening|newage,dark,club|experimental|soundtrack,/home/users/xl461/datasets/mtg_jamendo/audio_low/69/1372069.low.mp3
0,3,track_1021915,track_1287056,0,0.30717381834983826,"A short film scene showing two friends sitting in a quiet room after an argument. The scene needs background music that feels emotional. The musical atmosphere should lean toward easylistening, newage. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is medium.",emotional,easylistening|newage,sad,classical|newage,/home/users/xl461/datasets/mtg_jamendo/audio_low/56/1287056.low.mp3
0,4,track_1021915,track_0442602,0,0.2635446786880493,"A short film scene showing two friends sitting in a quiet room after an argument. The scene needs background music that feels emotional. The musical atmosphere should lean toward easylistening, newage. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is medium.",emotional,easylistening|newage,film,chillout|easylistening|electronic|soundtrack,/home/users/xl461/datasets/mtg_jamendo/audio_low/02/442602.low.mp3
0,5,track_1021915,track_0769426,0,0.21109795570373535,"A short film scene showing two friends sitting in a quiet room after an argument. The scene needs background music that feels emotional. The musical atmosphere should lean toward easylistening, newage. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is medium.",emotional,easylistening|newage,meditative,folk|newage|soundtrack|world,/home/users/xl461/datasets/mtg_jamendo/audio_low/26/769426.low.mp3
1,1,track_1298276,track_1244794,0,0.4645601511001587,"A short film scene showing a suspenseful scene where the character feels watched. The scene needs background music that feels dark, dramatic. The musical atmosphere should lean toward classical, orchestral, soundtrack. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is high.",dark|dramatic,classical|orchestral|soundtrack,epic|film,choir|orchestral|soundtrack,/home/users/xl461/datasets/mtg_jamendo/audio_low/94/1244794.low.mp3
1,2,track_1298276,track_1319785,0,0.413377970457077,"A short film scene showing a suspenseful scene where the character feels watched. The scene needs background music that feels dark, dramatic. The musical atmosphere should lean toward classical, orchestral, soundtrack. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is high.",dark|dramatic,classical|orchestral|soundtrack,epic|movie,orchestral|soundtrack,/home/users/xl461/datasets/mtg_jamendo/audio_low/85/1319785.low.mp3
1,3,track_1298276,track_0625211,0,0.38838475942611694,"A short film scene showing a suspenseful scene where the character feels watched. The scene needs background music that feels dark, dramatic. The musical atmosphere should lean toward classical, orchestral, soundtrack. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is high.",dark|dramatic,classical|orchestral|soundtrack,relaxing,jazz,/home/users/xl461/datasets/mtg_jamendo/audio_low/11/625211.low.mp3
1,4,track_1298276,track_0742884,0,0.3644498586654663,"A short film scene showing a suspenseful scene where the character feels watched. The scene needs background music that feels dark, dramatic. The musical atmosphere should lean toward classical, orchestral, soundtrack. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is high.",dark|dramatic,classical|orchestral|soundtrack,epic|powerful|trailer,soundtrack,/home/users/xl461/datasets/mtg_jamendo/audio_low/84/742884.low.mp3
1,5,track_1298276,track_1372069,0,0.3225128650665283,"A short film scene showing a suspenseful scene where the character feels watched. The scene needs background music that feels dark, dramatic. The musical atmosphere should lean toward classical, orchestral, soundtrack. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is high.",dark|dramatic,classical|orchestral|soundtrack,dark,club|experimental|soundtrack,/home/users/xl461/datasets/mtg_jamendo/audio_low/69/1372069.low.mp3
2,1,track_1287056,track_0625211,0,0.4608587622642517,"A short film scene showing two friends sitting in a quiet room after an argument. The scene needs background music that feels sad. The musical atmosphere should lean toward classical, newage. The music should work as emotional underscore without overpowering dialogue. The pacing should feel slow, and the emotional tension is medium.",sad,classical|newage,relaxing,jazz,/home/users/xl461/datasets/mtg_jamendo/audio_low/11/625211.low.mp3
2,2,track_1287056,track_1287056,1,0.4278821051120758,"A short film scene showing two friends sitting in a quiet room after an argument. The scene needs background music that feels sad. The musical atmosphere should lean toward classical, newage. The music should work as emotional underscore without overpowering dialogue. The pacing should feel slow, and the emotional tension is medium.",sad,classical|newage,sad,classical|newage,/home/users/xl461/datasets/mtg_jamendo/audio_low/56/1287056.low.mp3
2,3,track_1287056,track_1372069,0,0.32548630237579346,"A short film scene showing two friends sitting in a quiet room after an argument. The scene needs background music that feels sad. The musical atmosphere should lean toward classical, newage. The music should work as emotional underscore without overpowering dialogue. The pacing should feel slow, and the emotional tension is medium.",sad,classical|newage,dark,club|experimental|soundtrack,/home/users/xl461/datasets/mtg_jamendo/audio_low/69/1372069.low.mp3
2,4,track_1287056,track_0769426,0,0.2157476544380188,"A short film scene showing two friends sitting in a quiet room after an argument. The scene needs background music that feels sad. The musical atmosphere should lean toward classical, newage. The music should work as emotional underscore without overpowering dialogue. The pacing should feel slow, and the emotional tension is medium.",sad,classical|newage,meditative,folk|newage|soundtrack|world,/home/users/xl461/datasets/mtg_jamendo/audio_low/26/769426.low.mp3
2,5,track_1287056,track_0442602,0,0.15329734981060028,"A short film scene showing two friends sitting in a quiet room after an argument. The scene needs background music that feels sad. The musical atmosphere should lean toward classical, newage. The music should work as emotional underscore without overpowering dialogue. The pacing should feel slow, and the emotional tension is medium.",sad,classical|newage,film,chillout|easylistening|electronic|soundtrack,/home/users/xl461/datasets/mtg_jamendo/audio_low/02/442602.low.mp3
3,1,track_0442602,track_0625211,0,0.41011905670166016,"A short film scene showing a tense scene before an important decision. The scene needs background music that feels film. The musical atmosphere should lean toward chillout, easylistening, electronic. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is low.",film,chillout|easylistening|electronic|soundtrack,relaxing,jazz,/home/users/xl461/datasets/mtg_jamendo/audio_low/11/625211.low.mp3
3,2,track_0442602,track_1372069,0,0.32098984718322754,"A short film scene showing a tense scene before an important decision. The scene needs background music that feels film. The musical atmosphere should lean toward chillout, easylistening, electronic. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is low.",film,chillout|easylistening|electronic|soundtrack,dark,club|experimental|soundtrack,/home/users/xl461/datasets/mtg_jamendo/audio_low/69/1372069.low.mp3
3,3,track_0442602,track_0742884,0,0.319135457277298,"A short film scene showing a tense scene before an important decision. The scene needs background music that feels film. The musical atmosphere should lean toward chillout, easylistening, electronic. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is low.",film,chillout|easylistening|electronic|soundtrack,epic|powerful|trailer,soundtrack,/home/users/xl461/datasets/mtg_jamendo/audio_low/84/742884.low.mp3
