track_id,split,moodtheme_tags,genre_tags,input_screenplay,input_text,target_text,leak_count,leaked_terms
track_1021915,train,emotional,easylistening|newage,"EXT. TRAIN STATION - EVENING.
Two friends stand apart after a difficult goodbye. One wants to say more, but the train arrives before either of them can speak.
The characters move through a bright public space, and the emotion is easy to read.
The scene is carried by blocking, editing rhythm, and facial expression. Dialogue density is medium.","Generate a structured background music plan for this screenplay excerpt:
EXT. TRAIN STATION - EVENING.
Two friends stand apart after a difficult goodbye. One wants to say more, but the train arrives before either of them can speak.
The characters move through a bright public space, and the emotion is easy to read.
The scene is carried by blocking, editing rhythm, and facial expression. Dialogue density is medium.","Mood: emotional
Genre: easylistening, newage
Pacing: medium
Tension: medium
Texture: soft ambient textures
Description: emotional easylistening, newage background music with soft ambient textures. The music should have a medium pace and medium emotional tension. It should function as a cinematic underscore, supporting the scene without overpowering dialogue or visual storytelling.",0,
track_1021915,train,emotional,easylistening|newage,"INT. DORM ROOM - NIGHT.
A student reads an old message on their phone. The room is quiet except for the hum of the light. They place the phone face down and stare at the wall.
The moment feels like a small but clear shift toward connection.
The scene is carried by blocking, editing rhythm, and facial expression. Dialogue density is medium.","Generate a structured background music plan for this screenplay excerpt:
INT. DORM ROOM - NIGHT.
A student reads an old message on their phone. The room is quiet except for the hum of the light. They place the phone face down and stare at the wall.
The moment feels like a small but clear shift toward connection.
The scene is carried by blocking, editing rhythm, and facial expression. Dialogue density is medium.","Mood: emotional
Genre: easylistening, newage
Pacing: medium
Tension: medium
Texture: soft ambient textures
Description: emotional easylistening, newage background music with soft ambient textures. The music should have a medium pace and medium emotional tension. It should function as a cinematic underscore, supporting the scene without overpowering dialogue or visual storytelling.",0,
track_1298276,train,dark|dramatic,classical|orchestral|soundtrack,"EXT. PARKING LOT - NIGHT.
A character searches for their car under weak streetlights. Their phone battery dies. A distant engine starts, then cuts off abruptly.
The blocking is composed and theatrical, with slow camera movement and strong spatial symmetry.
The scene is carried by blocking, editing rhythm, and facial expression. Dialogue density is low.","Generate a structured background music plan for this screenplay excerpt:
EXT. PARKING LOT - NIGHT.
A character searches for their car under weak streetlights. Their phone battery dies. A distant engine starts, then cuts off abruptly.
The blocking is composed and theatrical, with slow camera movement and strong spatial symmetry.
The scene is carried by blocking, editing rhythm, and facial expression. Dialogue density is low.","Mood: dark, dramatic
Genre: classical, orchestral, soundtrack
Pacing: medium
Tension: high
Texture: orchestral cinematic textures
Description: dark, dramatic classical, orchestral, soundtrack background music with orchestral cinematic textures. The music should have a medium pace and high emotional tension. It should function as a cinematic underscore, supporting the scene without overpowering dialogue or visual storytelling.",0,
track_1298276,train,dark|dramatic,classical|orchestral|soundtrack,"INT. EMPTY SUBWAY PLATFORM - NIGHT.
A young woman crosses the platform alone. The lights flicker above her. She stops when she hears footsteps behind her, but the platform is empty.
The setting has a formal, ceremonial quality, with high ceilings and a wide visual scale.
The scene is carried by blocking, editing rhythm, and facial expression. Dialogue density is low.","Generate a structured background music plan for this screenplay excerpt:
INT. EMPTY SUBWAY PLATFORM - NIGHT.
A young woman crosses the platform alone. The lights flicker above her. She stops when she hears footsteps behind her, but the platform is empty.
The setting has a formal, ceremonial quality, with high ceilings and a wide visual scale.
The scene is carried by blocking, editing rhythm, and facial expression. Dialogue density is low.","Mood: dark, dramatic
Genre: classical, orchestral, soundtrack
Pacing: medium
Tension: high
Texture: orchestral cinematic textures
Description: dark, dramatic classical, orchestral, soundtrack background music with orchestral cinematic textures. The music should have a medium pace and high emotional tension. It should function as a cinematic underscore, supporting the scene without overpowering dialogue or visual storytelling.",0,
track_1287056,train,sad,classical|newage,"INT. DORM ROOM - NIGHT.
A student reads an old message on their phone. The room is quiet except for the hum of the light. They place the phone face down and stare at the wall.
The blocking is composed and theatrical, with slow camera movement and strong spatial symmetry.
The scene is carried by blocking, editing rhythm, and facial expression. Dialogue density is medium.","Generate a structured background music plan for this screenplay excerpt:
INT. DORM ROOM - NIGHT.
A student reads an old message on their phone. The room is quiet except for the hum of the light. They place the phone face down and stare at the wall.
The blocking is composed and theatrical, with slow camera movement and strong spatial symmetry.
The scene is carried by blocking, editing rhythm, and facial expression. Dialogue density is medium.","Mood: sad
Genre: classical, newage
Pacing: slow
Tension: medium
Texture: soft ambient textures
Description: sad classical, newage background music with soft ambient textures. The music should have a slow pace and medium emotional tension. It should function as a cinematic underscore, supporting the scene without overpowering dialogue or visual storytelling.",0,
track_1287056,train,sad,classical|newage,"INT. BEDROOM - LATE AFTERNOON.
A character sits on the floor beside an open suitcase, looking through old photographs. They pause over one picture and do not move for a long time.
The scene unfolds slowly, with long takes, drifting attention, and very little spoken dialogue.
The scene is carried by blocking, editing rhythm, and facial expression. Dialogue density is medium.","Generate a structured background music plan for this screenplay excerpt:
INT. BEDROOM - LATE AFTERNOON.
A character sits on the floor beside an open suitcase, looking through old photographs. They pause over one picture and do not move for a long time.
The scene unfolds slowly, with long takes, drifting attention, and very little spoken dialogue.
The scene is carried by blocking, editing rhythm, and facial expression. Dialogue density is medium.","Mood: sad
Genre: classical, newage
Pacing: slow
Tension: medium
Texture: soft ambient textures
Description: sad classical, newage background music with soft ambient textures. The music should have a slow pace and medium emotional tension. It should function as a cinematic underscore, supporting the scene without overpowering dialogue or visual storytelling.",0,
track_0442602,train,film,chillout|easylistening|electronic|soundtrack,"INT. SMALL OFFICE - DAY.
A character waits for an important phone call. They rearrange papers on the desk, check the clock, and try to appear composed.
The scene is accessible and emotionally direct, built around an everyday turning point.
The scene is carried by blocking, editing rhythm, and facial expression. Dialogue density is medium.","Generate a structured background music plan for this screenplay excerpt:
INT. SMALL OFFICE - DAY.
A character waits for an important phone call. They rearrange papers on the desk, check the clock, and try to appear composed.
The scene is accessible and emotionally direct, built around an everyday turning point.
The scene is carried by blocking, editing rhythm, and facial expression. Dialogue density is medium.","Mood: film
Genre: chillout, easylistening, electronic, soundtrack
Pacing: medium
Tension: low
Texture: soft ambient textures
Description: film chillout, easylistening, electronic, soundtrack background music with soft ambient textures. The music should have a medium pace and low emotional tension. It should function as a cinematic underscore, supporting the scene without overpowering dialogue or visual storytelling.",0,
track_0442602,train,film,chillout|easylistening|electronic|soundtrack,"EXT. CITY SIDEWALK - EVENING.
A character moves through a crowd while replaying a conversation in their head. The city continues around them, indifferent.
The characters move through a bright public space, and the emotion is easy to read.
The scene is carried by blocking, editing rhythm, and facial expression. Dialogue density is medium.","Generate a structured background music plan for this screenplay excerpt:
EXT. CITY SIDEWALK - EVENING.
A character moves through a crowd while replaying a conversation in their head. The city continues around them, indifferent.
The characters move through a bright public space, and the emotion is easy to read.
The scene is carried by blocking, editing rhythm, and facial expression. Dialogue density is medium.","Mood: film
Genre: chillout, easylistening, electronic, soundtrack
Pacing: medium
Tension: low
Texture: soft ambient textures
Description: film chillout, easylistening, electronic, soundtrack background music with soft ambient textures. The music should have a medium pace and low emotional tension. It should function as a cinematic underscore, supporting the scene without overpowering dialogue or visual storytelling.",0,
track_1066503,train,advertising|happy|positive|uplifting,pop,"EXT. CITY STREET - MORNING.
A character steps out of an apartment building after a long night. Sunlight hits the windows across the street. They take a breath and begin walking.
The scene is accessible and emotionally direct, built around an everyday turning point.
The scene is carried by blocking, editing rhythm, and facial expression. Dialogue density is medium.","Generate a structured background music plan for this screenplay excerpt:
EXT. CITY STREET - MORNING.
A character steps out of an apartment building after a long night. Sunlight hits the windows across the street. They take a breath and begin walking.
The scene is accessible and emotionally direct, built around an everyday turning point.
The scene is carried by blocking, editing rhythm, and facial expression. Dialogue density is medium.","Mood: advertising, happy, positive, uplifting
Genre: pop
Pacing: medium
Tension: low
Texture: accessible melodic textures
Description: advertising, happy, positive, uplifting pop background music with accessible melodic textures. The music should have a medium pace and low emotional tension. It should function as a cinematic underscore, supporting the scene without overpowering dialogue or visual storytelling.",0,
track_1066503,train,advertising|happy|positive|uplifting,pop,"EXT. SCHOOL COURTYARD - DAY.
A small group of friends run across the courtyard after finishing their final exam. One of them turns back for a moment, smiling before joining the others.
The characters move through a bright public space, and the emotion is easy to read.
The scene is carried by blocking, editing rhythm, and facial expression. Dialogue density is medium.","Generate a structured background music plan for this screenplay excerpt:
EXT. SCHOOL COURTYARD - DAY.
A small group of friends run across the courtyard after finishing their final exam. One of them turns back for a moment, smiling before joining the others.
The characters move through a bright public space, and the emotion is easy to read.
The scene is carried by blocking, editing rhythm, and facial expression. Dialogue density is medium.","Mood: advertising, happy, positive, uplifting
Genre: pop
Pacing: medium
Tension: low
Texture: accessible melodic textures
Description: advertising, happy, positive, uplifting pop background music with accessible melodic textures. The music should have a medium pace and low emotional tension. It should function as a cinematic underscore, supporting the scene without overpowering dialogue or visual storytelling.",0,
