track_id,artist_id,album_id,path,duration,moodtheme_tags,genre_tags,split,scene_text,music_description
track_1021915,artist_002741,album_120152,15/1021915.mp3,444.9,emotional,easylistening|newage,train,"A short film scene showing two friends sitting in a quiet room after an argument. The scene needs background music that feels emotional. The musical atmosphere should lean toward easylistening, newage. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is medium.","mood/theme: emotional; genre: easylistening, newage"
track_1298276,artist_437980,album_154532,76/1298276.mp3,104.0,dark|dramatic,classical|orchestral|soundtrack,train,"A short film scene showing a suspenseful scene where the character feels watched. The scene needs background music that feels dark, dramatic. The musical atmosphere should lean toward classical, orchestral, soundtrack. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is high.","mood/theme: dark, dramatic; genre: classical, orchestral, soundtrack"
track_1287056,artist_484340,album_153434,56/1287056.mp3,161.0,sad,classical|newage,train,"A short film scene showing two friends sitting in a quiet room after an argument. The scene needs background music that feels sad. The musical atmosphere should lean toward classical, newage. The music should work as emotional underscore without overpowering dialogue. The pacing should feel slow, and the emotional tension is medium.","mood/theme: sad; genre: classical, newage"
track_0442602,artist_336426,album_053442,02/442602.mp3,304.0,film,chillout|easylistening|electronic|soundtrack,train,"A short film scene showing a tense scene before an important decision. The scene needs background music that feels film. The musical atmosphere should lean toward chillout, easylistening, electronic. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is low.","mood/theme: film; genre: chillout, easylistening, electronic, soundtrack"
track_1066503,artist_437980,album_126061,03/1066503.mp3,164.1,advertising|happy|positive|uplifting,pop,train,"A short film scene showing a bright outdoor scene where the character starts to feel hopeful. The scene needs background music that feels advertising, happy, positive, uplifting. The musical atmosphere should lean toward pop. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is low.","mood/theme: advertising, happy, positive, uplifting; genre: pop"
track_0620607,artist_002189,album_071877,07/620607.mp3,702.2,cool,ambient|chillout|electronic,train,"A short film scene showing two friends sitting in a quiet room after an argument. The scene needs background music that feels cool. The musical atmosphere should lean toward ambient, chillout, electronic. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is low.","mood/theme: cool; genre: ambient, chillout, electronic"
track_0250990,artist_004965,album_036179,90/250990.mp3,544.4,dream,,train,"A short film scene showing two friends sitting in a quiet room after an argument. The scene needs background music that feels dream. The musical atmosphere should lean toward cinematic. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is low.",mood/theme: dream; genre: 
track_0843208,artist_363229,album_098556,08/843208.mp3,170.2,meditative,folk|newage|orchestral|world,train,"A short film scene showing two friends sitting in a quiet room after an argument. The scene needs background music that feels meditative. The musical atmosphere should lean toward folk, newage, orchestral. The music should work as emotional underscore without overpowering dialogue. The pacing should feel slow, and the emotional tension is low.","mood/theme: meditative; genre: folk, newage, orchestral, world"
track_1372069,artist_492919,album_161420,69/1372069.mp3,147.5,dark,club|experimental|soundtrack,train,"A short film scene showing a night-time scene where the mood slowly becomes uncertain. The scene needs background music that feels dark. The musical atmosphere should lean toward club, experimental, soundtrack. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is high.","mood/theme: dark; genre: club, experimental, soundtrack"
track_1314750,artist_466600,album_156065,50/1314750.mp3,35.1,corporate|motivational,dance|house|trance,train,"A short film scene showing a suspenseful scene where the character feels watched. The scene needs background music that feels corporate, motivational. The musical atmosphere should lean toward dance, house, trance. The music should work as emotional underscore without overpowering dialogue. The pacing should feel medium, and the emotional tension is low.","mood/theme: corporate, motivational; genre: dance, house, trance"
